Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Aat Garhi Sonra,Uttar Pradesh,Lucknow,CGWB,2018-11-30,12.2,27.08472222,80.72777778,2
Achhanera Pz-GWD,Uttar Pradesh,Agra,CGWB,2018-11-30,5.43,27.17722222,77.74555556,2
Adalhat,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,2.0,25.13138889,83.03500000,2
Ahraura,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,1.85,25.02083333,83.04027778,2
Ahraura bhawani,Uttar Pradesh,Raibareli,CGWB,2018-11-30,2.33,26.49472222,81.34861111,2
Ajneri Madhopura,Uttar Pradesh,Jhansi,CGWB,2018-11-30,3.74,25.63333333,79.20000000,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2018-11-30,7.2,26.43611111,82.54361111,2
Akodha,Uttar Pradesh,Allahabad,CGWB,2018-11-30,8.45,25.22500000,81.86250000,2
Amroha Pz CGWB,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-11-30,13.91,29.00000000,78.60333333,2
Anai,Uttar Pradesh,Varanasi,CGWB,2018-11-30,1.98,25.45833333,82.73611111,2
Anpara,Uttar Pradesh,Sonbhadra,CGWB,2018-11-30,13.2,24.20638889,82.77000000,2
Arya Nagar,Uttar Pradesh,Lucknow,CGWB,2018-11-30,18.0,26.83472222,80.91250000,2
Asandih,Uttar Pradesh,Sonbhadra,CGWB,2018-11-30,1.89,23.93333333,83.15722222,2
Ata,Uttar Pradesh,Jalaun,CGWB,2018-11-30,9.97,26.04166667,79.59166667,2
Ateha,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,5.51,26.09694444,81.63972222,2
Atrampur,Uttar Pradesh,Allahabad,CGWB,2018-11-30,5.25,25.57083333,81.74166667,2
Auras,Uttar Pradesh,Unnao,CGWB,2018-11-30,4.88,26.90416667,80.50416667,2
Azad Nagar-Pz,Uttar Pradesh,Ghaziabad,CGWB,2018-11-30,12.28,28.64166667,77.82333333,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2018-11-30,7.93,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2018-11-30,2.52,27.18666667,81.10833333,2
Babhani,Uttar Pradesh,Sonbhadra,CGWB,2018-11-30,9.05,23.95388889,83.07916667,2
Babina-New,Uttar Pradesh,Jalaun,CGWB,2018-11-30,2.05,26.00361111,79.81805556,2
Babuganj,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,2.69,26.36111111,82.12277778,2
Baburi,Uttar Pradesh,Chandauli,CGWB,2018-11-30,4.24,25.16666667,83.19500000,2
